CATEGORY,AREA_CD,AREA_NM,TOT_REG_CD,ADM_NM,ADM_CD,REG_AREA,AREA,RATE,Area to st,Area to _1
인구밀집지역,POI013,가산디지털단지역,"1118051010001",가산동,"1118051",23090.98,23088.446,1.000,"437",광명
인구밀집지역,POI013,가산디지털단지역,"1118051010003",가산동,"1118051",215886.15,215871.596,1.000,"437",광명
인구밀집지역,POI013,가산디지털단지역,"1118051010002",가산동,"1118051",15779.28,15778.026,1.000,"437",광명
인구밀집지역,POI013,가산디지털단지역,"1118051010004",가산동,"1118051",18596.58,18595.490,1.000,"437",광명
인구밀집지역,POI013,가산디지털단지역,"1118051020002",가산동,"1118051",736729.26,736705.000,1.000,"437",광명
인구밀집지역,POI013,가산디지털단지역,"1118051020001",가산동,"1118051",156139.72,156133.511,1.000,"437",광명
인구밀집지역,POI014,강남역,"1123064030006",역삼1동,"1123064",117122.10,73163.631,0.625,"401",서초
인구밀집지역,POI014,강남역,"1123064030002",역삼1동,"1123064",67501.35,67496.323,1.000,"401",서초
인구밀집지역,POI014,강남역,"1123064030001",역삼1동,"1123064",62742.33,62742.328,1.000,"401",서초
인구밀집지역,POI014,강남역,"1123064030011",역삼1동,"1123064",72454.88,29877.335,0.412,"401",서초
인구밀집지역,POI014,강남역,"1123064050003",역삼1동,"1123064",33513.55,33513.546,1.000,"401",서초
인구밀집지역,POI014,강남역,"1123064050002",역삼1동,"1123064",47918.73,47918.727,1.000,"401",서초
인구밀집지역,POI014,강남역,"1123064050004",역삼1동,"1123064",68876.30,68876.299,1.000,"401",서초
인구밀집지역,POI014,강남역,"1123064050001",역삼1동,"1123064",35047.72,35046.504,1.000,"401",서초
인구밀집지역,POI014,강남역,"1123064050301",역삼1동,"1123064",5673.44,5673.439,1.000,"401",서초
인구밀집지역,POI014,강남역,"1122052020002",서초2동,"1122052",88021.42,56810.401,0.645,"401",서초
인구밀집지역,POI014,강남역,"1122052020001",서초2동,"1122052",64514.38,33123.168,0.513,"401",서초
인구밀집지역,POI014,강남역,"1122052020301",서초2동,"1122052",3946.50,3946.504,1.000,"401",서초
인구밀집지역,POI014,강남역,"1122054030003",서초4동,"1122054",57081.41,17252.276,0.302,"401",서초
인구밀집지역,POI014,강남역,"1122054030002",서초4동,"1122054",120016.20,92562.430,0.771,"401",서초
인구밀집지역,POI014,강남역,"1122054030001",서초4동,"1122054",52910.56,14125.218,0.267,"401",서초
인구밀집지역,POI015,건대입구역,"1105053020017",화양동,"1105053",18086.74,18083.730,1.000,"413",광진
인구밀집지역,POI015,건대입구역,"1105053020010",화양동,"1105053",31362.71,31359.756,1.000,"413",광진
인구밀집지역,POI015,건대입구역,"1105053020020",화양동,"1105053",14519.04,14516.662,1.000,"413",광진
인구밀집지역,POI015,건대입구역,"1105053020006",화양동,"1105053",38014.93,38014.414,1.000,"413",광진
인구밀집지역,POI015,건대입구역,"1105066011201",자양3동,"1105066",68597.09,68590.145,1.000,"413",광진
인구밀집지역,POI015,건대입구역,"1105067010005",자양4동,"1105067",58360.49,58356.220,1.000,"413",광진
인구밀집지역,POI015,건대입구역,"1105067010004",자양4동,"1105067",24300.75,24300.750,1.000,"413",광진
